City,Loaf of Bread,Milk (1L),Public Transport Ticket,McMeal,Rent (1BR/day),Coffee
Sydney,55.920346320346326,92.26857142857145,42.21437908496733,13.597473684210527,2.2520746646830476,41.53569131832798
Melbourne,57.411555555555566,98.60763358778627,41.270287539936106,13.344628099173555,3.015922922471088,39.99256965944273
Brisbane,61.22085308056873,97.86060606060607,36.18375350140057,14.629218573046433,2.9087579187558172,38.67544910179641
Perth,66.24410256410258,80.23354037267082,47.491176470588236,13.626160337552744,3.1511721513429127,38.4452380952381
Adelaide,67.98736842105264,116.37477477477478,44.69757785467128,14.933641618497111,3.4677189874097345,38.217751479289944
Canberra,65.57157360406092,92.26857142857145,58.984474885844755,14.449217002237138,2.522098494660046,39.26322188449848
Gold Coast,57.92645739910315,116.37477477477478,37.992941176470595,12.676741903827283,2.7465944689356037,37.44231884057971
Wollongong,79.24907975460124,114.31504424778764,53.37851239669422,16.310101010101015,1.8007806691449815,41.94025974025974
Hobart,67.27916666666667,113.3122807017544,59.528110599078346,14.629218573046433,4.303762604948692,37.11954022988506
Geelong,67.63141361256545,103.34080000000002,70.97582417582419,14.629218573046433,2.7709864714126367,37.992941176470595
Townsville,67.27916666666667,102.52063492063493,47.491176470588236,15.17931844888367,4.276831731246759,39.74646153846154
Newcastle,55.6793103448276,103.34080000000002,63.321568627450986,15.849815950920247,2.6265249688228596,38.67544910179641
Cairns,66.24410256410258,99.36615384615385,48.7456603773585,12.676741903827283,4.905355628409768,36.18375350140057
Darwin,62.40386473429953,111.3586206896552,63.321568627450986,11.88371665133395,3.6476313287713786,37.33410404624278
Ballarat,87.8748299319728,135.97473684210527,38.56,12.969477911646585,3.109203379359591,42.21437908496733
