City,Total Basket Cost,Total Basket (%),Baskets per Day,Affordability,Latitude,Longitude
Sydney,164.5925373134328,85.36957329534897,1.1713775311261643,orange,-33.8688,151.2093
Melbourne,149.52885572139303,77.55646043640716,1.2893832368999811,orange,-37.8136,144.9631
Brisbane,144.66268656716417,75.03251377964946,1.3327555610581487,orange,-27.4698,153.0251
Perth,149.70995024875623,77.65038913317231,1.2878235526739932,orange,-31.9505,115.8605
Adelaide,132.39452736318407,68.66936066555189,1.4562535464257667,green,-34.9285,138.6007
Canberra,159.27611940298505,82.61209512602959,1.2104765028346534,orange,-35.2809,149.13
Gold Coast,149.49751243781094,77.54020354658243,1.2896535658424575,orange,-28.0167,153.4
Wollongong,177.1169154228856,91.865620032617,1.0885465091782418,orange,-34.4278,150.8931
Hobart,138.47064676616912,71.82087487871843,1.3923528524104831,green,-42.8821,147.3272
Geelong,136.14228855721393,70.61322020602383,1.4161654107861983,green,-38.1471,144.3607
Townsville,118.99303482587064,61.71837905906153,1.6202629026323714,green,-19.2589,146.8169
Newcastle,153.21144278606965,79.46651596787845,1.2583916481304087,orange,-32.9283,151.7817
Cairns,124.38805970149254,64.51662847587787,1.5499880009599234,green,-16.9186,145.7781
Darwin,135.34328358208955,70.19879853842819,1.4245258050286722,green,-12.4634,130.8456
Ballarat,146.17014925373132,75.81439276645816,1.3190107623501544,orange,-37.5622,143.8503
