Name of the city,Name of the country,"Meal, Inexpensive Restaurant (AUD)","Meal for 2 People, Mid-range Restaurant, Three-course (AUD)",McMeal at McDonalds (or Equivalent Combo Meal) (AUD),"Domestic Beer (0.5 liter draught, in restaurants) (AUD)","Imported Beer (0.33 liter bottle, in restaurants) (AUD)","Cappuccino (regular, in restaurants) (AUD)","Coke/Pepsi (0.33 liter bottle, in restaurants) (AUD)","Water (0.33 liter bottle, in restaurants) (AUD)","Milk (regular), (1 liter) (AUD)",Loaf of Fresh White Bread (500g) (AUD),"Rice (white), (1kg) (AUD)",Eggs (regular) (12) (AUD),Local Cheese (1kg) (AUD),Chicken Fillets (1kg) (AUD),Beef Round (1kg) (or Equivalent Back Leg Red Meat) (AUD),Apples (1kg) (AUD),Banana (1kg) (AUD),Oranges (1kg) (AUD),Tomato (1kg) (AUD),Potato (1kg) (AUD),Onion (1kg) (AUD),Lettuce (1 head) (AUD),"Water (1.5 liter bottle, at the market) (AUD)","Bottle of Wine (Mid-Range, at the market) (AUD)","Domestic Beer (0.5 liter bottle, at the market) (AUD)","Imported Beer (0.33 liter bottle, at the market) (AUD)",Cigarettes 20 Pack (Marlboro) (AUD),One-way Ticket (Local Transport) (AUD),Monthly Pass (Regular Price) (AUD),Taxi Start (Normal Tariff) (AUD),Taxi 1km (Normal Tariff) (AUD),Taxi 1hour Waiting (Normal Tariff) (AUD),Gasoline (1 liter) (AUD),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) (AUD),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) (AUD),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment (AUD)",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) (AUD),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) (AUD)","Fitness Club, Monthly Fee for 1 Adult (AUD)",Tennis Court Rent (1 Hour on Weekend) (AUD),"Cinema, International Release, 1 Seat (AUD)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child (AUD)","International Primary School, Yearly for 1 Child (AUD)",1 Pair of Jeans (Levis 501 Or Similar) (AUD),"1 Summer Dress in a Chain Store (Zara, H&M, …) (AUD)",1 Pair of Nike Running Shoes (Mid-Range) (AUD),1 Pair of Men Leather Business Shoes (AUD),Apartment (1 bedroom) in City Centre (AUD),Apartment (1 bedroom) Outside of Centre (AUD),Apartment (3 bedrooms) in City Centre (AUD),Apartment (3 bedrooms) Outside of Centre (AUD),Price per Square Meter to Buy Apartment in City Centre (AUD),Price per Square Meter to Buy Apartment Outside of Centre (AUD),Average Monthly Net Salary (After Tax) (AUD),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",data_quality
Sydney,Australia,21.0645,126.4025,14.725,9.486,9.749500000000001,4.8205,3.4565,3.193,2.17,3.5805000000000002,2.9139999999999997,5.843500000000001,12.028,12.4155,21.1885,4.479500000000001,3.658,3.8905,8.184000000000001,3.6115000000000004,3.2550000000000003,4.0455,2.2785,18.956500000000002,6.618499999999999,7.145500000000001,42.129,4.743,228.98149999999998,4.9445,2.945,63.19350000000001,2.139,36867.1995,30734.392,206.5375,0.6975,78.523,89.125,23.777,22.1185,2591.5225,23731.321500000002,118.0015,78.709,161.91299999999998,184.4965,2667.178,1978.4200000000003,5212.4485,3371.5445,18322.426,10844.947,7260.107,2.97,1
Melbourne,Australia,24.2265,126.4025,15.004,10.54,10.54,5.0065,4.0455,3.565,2.0305,3.4875000000000003,3.3480000000000003,5.6575,13.640000000000002,12.958,21.0335,4.557,3.7975000000000003,3.751,8.044500000000001,3.7665,3.2395,4.743,2.3715,21.0645,6.0605,6.7425,42.129,4.8515,167.4775,5.27,1.891,35.898,2.201,34539.2855,29669.030500000004,230.40750000000003,0.2015,79.93350000000001,71.517,19.6695,23.1725,2616.462,27308.055,114.1265,70.959,155.775,176.76200000000003,1991.6570000000002,1615.5495,3698.1915,2509.0315,9708.890000000001,8187.394499999999,6282.026,3.44,1
Brisbane,Australia,21.0645,105.338,13.6865,9.486,9.486,5.177,3.875,3.038,2.0460000000000003,3.2704999999999997,3.0225,5.0065,11.7025,11.857500000000002,21.111,4.6655,3.7199999999999998,4.1850000000000005,6.7425,3.4875000000000003,3.007,4.1075,2.635,17.9025,5.5955,6.649500000000001,42.129,5.5335,208.568,5.27,2.2785,51.832,2.139,33707.1525,29795.712000000003,221.805,0.5890000000000001,79.4995,64.852,21.855,18.956500000000002,2139.6200000000003,11446.378,112.468,65.3635,166.346,170.7945,2065.034,1596.7480000000003,3352.6965000000005,2229.0705,10334.8575,6275.33,6328.6035,3.67,1
Perth,Australia,26.3345,105.338,14.694,10.54,10.54,5.208,3.875,3.3635,2.4955000000000003,3.0225,2.9139999999999997,6.292999999999999,11.315,13.485,20.646,5.115,3.9215,3.9524999999999997,6.1535,3.193,2.2475,2.697,2.2785,18.956500000000002,6.649500000000001,7.1145,42.129,4.216,141.9025,5.5335,1.7979999999999998,63.19350000000001,2.0460000000000003,34649.8935,31077.3295,221.4175,0.8370000000000001,82.553,67.4715,14.4305,21.0645,2062.802,18508.829,101.8505,66.3245,153.667,174.9795,1906.1745,1512.211,3166.867,2295.1935,7110.098,5556.13,6596.6605,3.92,1
Adelaide,Australia,19.4835,105.338,13.4075,8.432,10.0595,5.239,3.8285000000000005,2.821,1.7205000000000001,2.945,3.2085,5.27,13.3145,11.5165,22.3975,4.3709999999999996,4.0145,4.278,6.9905,3.5029999999999997,2.8055000000000003,3.999,2.0615,17.9025,6.3549999999999995,7.1610000000000005,41.2455,4.479500000000001,110.608,5.27,2.5575,41.7725,2.108,36867.1995,31447.237,325.6085,0.2635,75.175,64.2165,23.311999999999998,18.956500000000002,1880.9715,21969.839500000002,104.718,72.385,146.258,157.1235,1732.1715,1211.356,3239.0505000000003,2147.6645,5863.3555,2819.2329999999997,6424.718999999999,3.2,1
Canberra,Australia,24.2265,115.8625,13.857,10.013,10.54,5.0995,3.5495,2.6815,2.17,3.0535,2.821,5.673,13.423,11.346,22.32,4.526,3.751,4.247000000000001,7.796500000000001,3.1,2.4645,3.3945,2.294,18.4295,5.177,6.448,36.8745,3.3945,110.608,5.518000000000001,2.2785,54.77700000000001,2.1235000000000004,31600.4545,28259.073,228.8885,0.41850000000000004,79.48400000000001,70.91250000000001,18.693,18.956500000000002,1935.5315,18749.606,91.3415,52.793000000000006,134.3075,166.873,2381.6215,2029.9265000000003,4129.2775,2948.1775000000002,8042.051,5618.905,6870.266500000001,3.05,1
Gold Coast,Australia,21.0645,94.798,15.7945,8.432,9.486,5.3475,3.4720000000000004,2.4800000000000004,1.7205000000000001,3.4565,2.9295,4.4639999999999995,9.083,10.8035,17.561500000000002,4.495,3.782,3.844,6.603,3.0225,2.9139999999999997,3.7045000000000003,2.8985000000000003,18.956500000000002,5.7505,6.0605,39.494,5.27,168.53150000000002,4.216,2.635,52.2505,2.0770000000000004,33707.1525,32408.577999999998,188.2785,0.23249999999999998,78.0735,70.8195,38.626000000000005,18.956500000000002,2222.5605,27324.903500000004,114.111,56.885000000000005,165.3695,170.7945,2186.9570000000003,1746.8035,3765.725,2464.841,14203.332,10257.497,5825.5975,3.66,1
Wollongong,Australia,20.0105,73.7335,12.276,8.741999999999999,9.749500000000001,4.774,2.9915,2.666,1.7514999999999998,2.5265,2.666,5.332,17.561500000000002,12.462,26.195,5.378500000000001,4.0765,2.8985000000000003,6.2465,2.9295,2.604,2.635,2.821,17.375500000000002,5.27,4.216,42.129,3.751,75.9965,3.7975000000000003,2.3095,59.706,2.17,34649.8935,37874.188,175.55300000000003,1.054,78.4765,53.9245,19.313000000000002,17.375500000000002,1790.6995,15974.433964285716,107.446,46.081500000000005,124.2945,158.007,3335.6,2668.48,6794.0995,4494.287,5266.745,5811.422153846154,5126.2995,3.8,1
Hobart,Australia,27.497,105.338,13.6865,9.486,10.54,5.394,3.751,2.4800000000000004,1.767,2.976,2.201,5.053,11.2065,10.2765,20.0105,4.3865,3.5805000000000002,5.0065,8.2925,3.5959999999999996,2.8055000000000003,3.4720000000000004,2.4955000000000003,15.7945,7.0215000000000005,6.8045,29.4965,3.3635,96.3325,4.588,3.1620000000000004,36.022,2.108,30251.1175,25789.9695,368.6675,0.21700000000000003,94.798,84.2735,19.313000000000002,23.1725,1580.0235,4740.070500000001,106.39200000000001,50.917500000000004,113.22749999999999,219.449,1395.682,1176.233,2042.528,1467.664,9971.692500000001,7127.6595,6934.482999999999,2.5,1
Geelong,Australia,16.848499999999998,84.2735,13.6865,8.432,8.432,5.27,4.4175,3.8905,1.9375,2.9605,2.79,5.9365000000000006,10.9895,13.376500000000002,17.0345,4.6345,3.3480000000000003,3.534,7.1145,3.4255,3.0225,3.3635,3.3325,15.7945,6.107,5.9675,36.8745,2.821,84.2735,3.7975000000000003,1.9375,40.641,2.0770000000000004,22119.2595,26333.709500000004,196.8035,0.2635,75.0355,65.8285,26.3345,12.6325,2083.5255,5352.057,68.46350000000001,94.798,122.884,158.007,2167.706,1544.9160000000002,2808.9255000000003,1896.0220000000002,7030.149,5765.101000000001,4735.9165,2.7,1
Townsville,Australia,21.0645,105.338,13.1905,7.378,8.959000000000001,5.0375000000000005,3.8285000000000005,2.9915,1.953,2.976,2.697,6.2,12.5705,11.935,20.615000000000002,4.7895,4.4639999999999995,5.0685,5.827999999999999,3.317,3.1310000000000002,4.278,1.395,21.0645,6.680499999999999,7.378,48.453,4.216,84.2735,3.1620000000000004,1.891,32.550000000000004,2.0770000000000004,30020.431,32739.828500000003,150.102,0.10850000000000001,79.0035,67.5955,18.4295,15.7945,2206.182535714286,5793.4195,108.624,52.669,143.0805,147.467,1404.4705000000001,1193.7945000000002,2457.8195,1748.5549999999998,4213.396000000001,3160.047,4740.070500000001,3.92,1
Newcastle,Australia,22.1185,115.8625,12.6325,8.959000000000001,8.432,5.177,3.8595000000000006,3.193,1.9375,3.5959999999999996,2.294,6.138,13.7795,11.191,18.956500000000002,4.867,3.6115000000000004,3.9524999999999997,7.8275,3.2704999999999997,2.79,3.1464999999999996,1.8599999999999999,15.7945,6.9285,5.9365000000000006,42.129,3.1620000000000004,210.676,3.7975000000000003,2.3095,59.4115,2.0925000000000002,34233.827000000005,37218.3055,307.644,0.1705,75.051,56.4665,17.561500000000002,20.0105,1843.353,12113.513500000001,110.608,50.034000000000006,139.035,153.791,2286.9320000000002,1771.3864999999998,3233.7805,2457.8195,4885.9565,4669.499,4371.403,3.1,1
Cairns,Australia,24.753500000000003,104.284,15.7945,8.959000000000001,7.904999999999999,5.5335,3.4255,3.5495,2.015,3.0225,2.604,5.1925,16.5075,11.857500000000002,43.896,5.1305000000000005,3.7975000000000003,3.9524999999999997,12.896,3.3635,2.945,3.9370000000000003,7.378,17.9025,6.370500000000001,5.301,47.399,4.1075,158.007,3.0535,2.387,51.832,2.108,31595.184500000003,22822.541,200.13600000000002,0.651,81.1115,51.258500000000005,19.313000000000002,21.0645,2106.6980000000003,5108.738,98.7505,49.1505,115.8625,97.433,1224.5155,902.3634999999999,1806.153,2120.741,4213.396000000001,1580.0235,4925.5745,3.6,1
Darwin,Australia,22.1185,115.8625,16.848499999999998,10.54,8.959000000000001,5.363,3.6735,3.5959999999999996,1.7979999999999998,3.2085,3.5805000000000002,6.5875,11.7955,13.0665,22.909,5.518000000000001,4.5105,5.115,6.665,4.479500000000001,4.34,4.34,3.5805000000000002,21.0645,6.789,7.6415,41.075,3.1620000000000004,66.867,5.9055,1.6275000000000002,58.342000000000006,2.0770000000000004,29967.762000000002,28383.522500000003,264.585,0.651,94.054,66.7895,32.394999999999996,25.807499999999997,2738.7105,11762.392000000002,100.06800000000001,63.19350000000001,163.2615,175.55300000000003,1646.7355000000002,983.1185,3651.6140000000005,2743.965,4783.951,3686.7215000000006,7328.9115,4.08,1
Ballarat,Australia,21.0645,131.6725,15.438000000000002,7.378,7.904999999999999,4.743,3.6425,3.0535,1.4725,2.2785,1.8135,4.2935,10.106,12.617,20.5375,4.6035,6.091500000000001,4.402,7.781,3.069,3.224,2.604,4.3555,10.54,6.9285,7.548500000000001,38.719,5.1925,68.696,3.7975000000000003,1.9375,40.641,2.0770000000000004,34945.3545,26231.347500000003,382.94300000000004,0.527,81.7315,101.4785,23.4205,18.956500000000002,3294.0755000000004,29732.9525,90.9385,48.081,202.6315,153.58950000000002,1931.9045,1162.2365000000002,2174.5415000000003,1575.792,8139.3068571428585,5811.422153846154,4359.6849999999995,3.0,1
