City,Income (AUD),Rent,Food,Transportation,Utilities,Leisure,Total Expenses,Surplus/Deficit
Sydney,3663.2000000000003,2568.2985074626863,299.99999999999994,112.52985074626865,198.88059701492537,160.50746268656715,3340.2164179104475,322.9835820895528
Melbourne,3663.2000000000003,1917.8208955223881,323.17164179104475,82.97014925373134,221.86567164179104,163.58208955223878,2709.410447761194,953.7895522388062
Brisbane,3663.2000000000003,1988.4776119402984,289.36567164179104,103.0820895522388,213.58208955223878,163.07462686567163,2757.582089552239,905.6179104477615
Perth,3663.2000000000003,1835.507462686567,336.15671641791045,70.3507462686567,213.20895522388057,169.0149253731343,2624.2388059701484,1038.9611940298519
Adelaide,3663.2000000000003,1667.9552238805968,271.231343283582,55.41044776119403,313.5373134328358,154.86567164179104,2462.9999999999995,1200.2000000000007
Canberra,3663.2000000000003,2293.3283582089553,312.7611940298507,54.88805970149253,220.40298507462683,162.8955223880597,3044.2761194029854,618.9238805970149
Gold Coast,3663.2000000000003,2105.880597014925,303.5820895522388,83.67910447761194,181.29850746268656,160.65671641791045,2835.097014925373,828.1029850746272
Wollongong,3663.2000000000003,3211.9402985074626,264.06716417910445,38.3955223880597,169.044776119403,160.32835820895522,3843.7761194029854,-180.5761194029851
Hobart,3663.2000000000003,1343.9402985074628,331.67910447761193,47.99999999999999,354.99999999999994,192.955223880597,2271.5746268656712,1391.625373134329
Geelong,3663.2000000000003,2087.3432835820895,255.89552238805967,41.93283582089552,189.50746268656715,154.65671641791042,2729.3358208955224,933.8641791044779
Townsville,3663.2000000000003,1352.4029850746267,282.9850746268657,42.60447761194029,144.53731343283582,161.8507462686567,1984.3805970149251,1678.8194029850752
Newcastle,3663.2000000000003,2202.1492537313434,290.93283582089555,102.95522388059699,296.2388059701492,154.50746268656718,3046.783582089552,616.4164179104482
Cairns,3663.2000000000003,1179.1194029850744,329.2164179104477,78.05223880597015,192.71641791044775,166.86567164179104,1945.970149253731,1717.2298507462692
Darwin,3663.2000000000003,1585.6865671641792,317.57462686567163,33.71641791044776,254.77611940298505,191.46268656716416,2383.2164179104475,1279.9835820895528
Ballarat,3663.2000000000003,1860.2835820895523,290.70895522388054,35.57462686567164,368.7462686567164,166.53731343283582,2721.8507462686566,941.3492537313437
